interface_category,comparison,tp1,tp2,n_mice_1,n_mice_2,mean_1,mean_2,pooled_std,hedges_g,bootstrap_range_min,bootstrap_range_max,g_pathological,metric
immune,Sham_vs_D1,Sham,D1,2,2,0.0798790153462741,0.06048716399178604,0.005807512895778014,1.9080556712850534,1.9080556712850534,3.959326616380002,False,raw_proportion
immune+stromal,Sham_vs_D1,Sham,D1,2,2,0.086878905553091,0.06296953300937401,0.00889177429775917,1.5365323206475017,1.4947709724817033,25.726746572758948,False,raw_proportion
stromal,Sham_vs_D1,Sham,D1,2,2,0.06364466643377106,0.05641653456230668,0.003146574231369809,1.3126533066439485,1.19409971678569,3.289224859866357,False,raw_proportion
none,Sham_vs_D1,Sham,D1,2,2,0.24854028979087772,0.19982994353696557,0.02786637069570145,0.9988557131323069,0.8211504018289396,2.8314847372492093,False,raw_proportion
endothelial+immune+stromal,Sham_vs_D1,Sham,D1,2,2,0.20297974927341259,0.2535376154068462,0.02989808578913111,-0.966289595356216,-2.622401371652023,-0.7806615598271527,False,raw_proportion
immune,Sham_vs_D3,Sham,D3,2,2,0.0798790153462741,0.04624495340932319,0.007609018414316384,2.525879544174908,2.525879544174908,6.652410916125445,False,raw_proportion
none,Sham_vs_D3,Sham,D3,2,2,0.24854028979087772,0.17607565468236097,0.019346853673436623,2.140315092991395,2.140315092991395,3.926538905041849,False,raw_proportion
endothelial+immune+stromal,Sham_vs_D3,Sham,D3,2,2,0.20297974927341259,0.31803728872295534,0.03803417669923245,-1.728633852644049,-3.2908264642860523,-1.728633852644049,False,raw_proportion
stromal,Sham_vs_D3,Sham,D3,2,2,0.06364466643377106,0.04625220956565659,0.006386708649312864,1.5561296635707615,1.4495419287122142,5.026005400973613,False,raw_proportion
endothelial+immune,Sham_vs_D3,Sham,D3,2,2,0.08064928987932249,0.0922124724033983,0.009983028980350065,-0.6618765590990768,-3.6846923049317195,-0.3730842229962155,False,raw_proportion
stromal,Sham_vs_D7,Sham,D7,2,2,0.06364466643377106,0.026533722494840935,0.003142382613008801,6.7484632812055505,6.7484632812055505,13.310871394716383,True,raw_proportion
endothelial+immune+stromal,Sham_vs_D7,Sham,D7,2,2,0.20297974927341259,0.38480137603429704,0.0260742115279769,-3.984706203802611,-15.68290808958906,-3.984706203802611,False,raw_proportion
none,Sham_vs_D7,Sham,D7,2,2,0.24854028979087772,0.14442729300980117,0.01594568816660346,3.7309861071007306,3.7309861071007306,10.651438068357967,False,raw_proportion
immune,Sham_vs_D7,Sham,D7,2,2,0.0798790153462741,0.048057181144598275,0.010996351210103002,1.6536308190478526,1.5526382257327342,6.957110340602805,False,raw_proportion
endothelial+stromal,Sham_vs_D7,Sham,D7,2,2,0.09812928623325043,0.058990364752407695,0.03096483255598366,0.7222741459563019,0.4440054618263395,2.1186201446921085,False,raw_proportion
endothelial+immune+stromal,D1_vs_D3,D1,D3,2,2,0.2535376154068462,0.31803728872295534,0.03308021852383215,-1.11416906614691,-3.236216957600878,-0.9566787406718417,False,raw_proportion
immune,D1_vs_D3,D1,D3,2,2,0.06048716399178604,0.04624495340932319,0.008217801614420848,0.9903385879795521,0.8089473983763105,2.57881561091087,False,raw_proportion
stromal,D1_vs_D3,D1,D3,2,2,0.05641653456230668,0.04625220956565659,0.006063468358763706,0.9578982471272801,0.8302217868822468,5.327281245712422,False,raw_proportion
endothelial+stromal,D1_vs_D3,D1,D3,2,2,0.13344046506926924,0.1075822306905899,0.01968482883709287,0.750635631783126,0.4878074355286504,1.7160443517804218,False,raw_proportion
none,D1_vs_D3,D1,D3,2,2,0.19982994353696557,0.17607565468236097,0.026897052365660718,0.5046604795556712,0.001351963290234389,2.1407953843267675,False,raw_proportion
stromal,D1_vs_D7,D1,D7,2,2,0.05641653456230668,0.026533722494840935,0.002418712395689264,7.05991032270469,7.05991032270469,10.58080098049365,True,raw_proportion
endothelial+immune+stromal,D1_vs_D7,D1,D7,2,2,0.2535376154068462,0.38480137603429704,0.01809880568440179,-4.144354302910202,-11.2033822454229,-4.144354302910202,False,raw_proportion
endothelial+stromal,D1_vs_D7,D1,D7,2,2,0.13344046506926924,0.058990364752407695,0.029356957919755046,1.4491595002133995,1.3413943007304747,3.966232635795962,False,raw_proportion
none,D1_vs_D7,D1,D7,2,2,0.19982994353696557,0.14442729300980117,0.024564520146061967,1.2887960870332433,1.1810180431122026,7.098520365474748,False,raw_proportion
immune+stromal,D1_vs_D7,D1,D7,2,2,0.06296953300937401,0.11841313149333932,0.02548221979154602,-1.2433004869953457,-63.52174931379883,-1.2274785426611947,False,raw_proportion
stromal,D3_vs_D7,D3,D7,2,2,0.04625220956565659,0.026533722494840935,0.006061294220770688,1.858960559775675,1.769664978948823,8.550721635017718,False,raw_proportion
endothelial+immune+stromal,D3_vs_D7,D3,D7,2,2,0.31803728872295534,0.38480137603429704,0.0296693415925586,-1.2858696886155732,-7.239953416053804,-1.1794206797666118,False,raw_proportion
none,D3_vs_D7,D3,D7,2,2,0.17607565468236097,0.14442729300980117,0.014183856362689382,1.2750254681214614,1.1398074483456115,3.976106050550822,False,raw_proportion
endothelial,D3_vs_D7,D3,D7,2,2,0.141953230833529,0.11308985545627974,0.016536661372072162,0.9973813327448826,0.8867846776361444,6.51646302118621,False,raw_proportion
endothelial+stromal,D3_vs_D7,D3,D7,2,2,0.1075822306905899,0.058990364752407695,0.028878382789306253,0.9615074617816285,0.7860496683802829,3.160613280356734,False,raw_proportion
immune,Sham_vs_D1,Sham,D1,2,2,-0.3310963397969404,-0.5791464902301147,0.10037822948336593,1.4120884960235305,1.3416509581015026,3.062071480040993,False,clr
stromal,Sham_vs_D1,Sham,D1,2,2,-0.5582093403367556,-0.6463054040482704,0.03669747784981505,1.3717729605606948,1.3156036563893883,2.7837085181589134,False,clr
immune+stromal,Sham_vs_D1,Sham,D1,2,2,-0.2513790055557093,-0.5360217024502861,0.12037084026748676,1.3512655498009174,1.3118699842870598,25.446658001777763,False,clr
endothelial+stromal,Sham_vs_D1,Sham,D1,2,2,-0.1404544111000501,0.20918358788465108,0.19366903394862153,-1.0316215153423816,-2.7601875889165117,-0.8589434489160017,False,clr
endothelial+immune+stromal,Sham_vs_D1,Sham,D1,2,2,0.5948220584970063,0.8547954845946384,0.1544886932106535,-0.9615994568728526,-3.6671125087346206,-0.7986650757219993,False,clr
immune,Sham_vs_D3,Sham,D3,2,2,-0.3310963397969404,-0.7992590971764784,0.11881138994805547,2.2516492380268516,2.2516492380268516,5.327177269801937,False,clr
endothelial+immune,Sham_vs_D3,Sham,D3,2,2,-0.32137067078225273,-0.10354374384408502,0.061444692532508303,-2.0257653598494088,-6.909627801345971,-1.9529354581543281,False,clr
none,Sham_vs_D3,Sham,D3,2,2,0.8032076030697362,0.545941822568348,0.08100476847449478,1.8148193025902173,1.7226661475001315,7.201989763204314,False,clr
stromal,Sham_vs_D3,Sham,D3,2,2,-0.5582093403367556,-0.7962351854781717,0.08423974100791311,1.6146152282146873,1.5148650346958146,7.650028160804261,False,clr
endothelial+immune+stromal,Sham_vs_D3,Sham,D3,2,2,0.5948220584970063,1.1357062232870778,0.1961586864288774,-1.5756460813495028,-2.8642845272602977,-1.5756460813495028,False,clr
stromal,Sham_vs_D7,Sham,D7,2,2,-0.5582093403367556,-1.2399484592031165,0.05807350306813967,6.708140377267876,6.708140377267876,17.628605845351945,False,clr
endothelial+immune+stromal,Sham_vs_D7,Sham,D7,2,2,0.5948220584970063,1.4362428920997072,0.14150579183457543,-3.3978249136114003,-68.92057326815952,-3.3705148648807954,False,clr
none,Sham_vs_D7,Sham,D7,2,2,0.8032076030697362,0.45551005714071574,0.08324261810299412,2.386809983722675,2.3513394301954977,7.414447973430321,False,clr
endothelial+immune,Sham_vs_D7,Sham,D7,2,2,-0.32137067078225273,0.12337467967526275,0.21737137467638246,-1.169152104962282,-16.61172818201481,-1.1155037461401285,False,clr
immune+stromal,Sham_vs_D7,Sham,D7,2,2,-0.2513790055557093,0.23419846101230868,0.25939774832150003,-1.0696809815595043,-3.406535234325667,-0.9083653986441746,False,clr
endothelial+immune+stromal,D1_vs_D3,D1,D3,2,2,0.8547954845946384,1.1357062232870778,0.14976640332828794,-1.0718052817099748,-3.811122542968118,-0.916978644553148,False,clr
stromal,D1_vs_D3,D1,D3,2,2,-0.6463054040482704,-0.7962351854781717,0.08549092162444706,1.002143376035228,0.8628341563356251,4.722305593166848,False,clr
immune,D1_vs_D3,D1,D3,2,2,-0.5791464902301147,-0.7992590971764784,0.12928419125459517,0.9728848617932525,0.788164093660612,2.311271526686209,False,clr
immune+stromal,D1_vs_D3,D1,D3,2,2,-0.5360217024502861,-0.3633991134505842,0.11449058691699783,-0.8615684667588713,-18.031677247292425,-0.818796737812203,False,clr
endothelial+immune,D1_vs_D3,D1,D3,2,2,-0.22048411868830772,-0.10354374384408502,0.09975550514843513,-0.6698685074084264,-1.9895430270967671,-0.3516840542793886,False,clr
stromal,D1_vs_D7,D1,D7,2,2,-0.6463054040482704,-1.2399484592031165,0.05987399664063108,5.665641546891913,5.665641546891913,13.23384035907946,False,clr
endothelial+immune+stromal,D1_vs_D7,D1,D7,2,2,0.8547954845946384,1.4362428920997072,0.06305263219817994,-5.269497082804715,-45.164593394221804,-5.239585951572036,False,clr
immune+stromal,D1_vs_D7,D1,D7,2,2,-0.5360217024502861,0.23419846101230868,0.23013736918330926,-1.9124482445193063,-62.89368332075522,-1.8913597540476759,False,clr
endothelial+stromal,D1_vs_D7,D1,D7,2,2,0.20918358788465108,-0.5430345878535376,0.46507610407289324,0.9242335905895283,0.8155012904704465,6.499569494141153,False,clr
endothelial+immune,D1_vs_D7,D1,D7,2,2,-0.22048411868830772,0.12337467967526275,0.23114070410835308,-0.8500914742819604,-3.9118478984116494,-0.6926807405753191,False,clr
stromal,D3_vs_D7,D3,D7,2,2,-0.7962351854781717,-1.2399484592031165,0.09661534328596526,2.6243289471949907,2.6243289471949907,5.6588310127757815,False,clr
immune+stromal,D3_vs_D7,D3,D7,2,2,-0.3633991134505842,0.23419846101230868,0.2567219257098273,-1.3301720424553443,-4.14344506583601,-1.2013831674850053,False,clr
endothelial+immune+stromal,D3_vs_D7,D3,D7,2,2,1.1357062232870778,1.4362428920997072,0.1363345457273621,-1.2596604800732878,-30.62264091487155,-1.2277051407001893,False,clr
none,D3_vs_D7,D3,D7,2,2,0.545941822568348,0.45551005714071574,0.04207845414441707,1.228070174648557,1.1175519028747847,2.6564481808801137,False,clr
endothelial+stromal,D3_vs_D7,D3,D7,2,2,0.04805162416744548,-0.5430345878535376,0.48402563340305094,0.6978216160816805,0.46219677643717716,3.4903652738822313,False,clr
